时间,伸缩量(mm)
2023-01-21 23:00:00,1631.42
2023-01-22 00:20:00,1631.42
2023-01-22 01:30:00,1631.42
2023-01-22 02:40:00,1631.4
2023-01-22 03:50:00,1631.4
2023-01-22 05:00:00,1631.84
2023-01-22 06:10:00,1632.48
2023-01-22 07:20:00,1633.17
2023-01-22 08:30:00,1633.47
2023-01-22 09:40:00,1633.5
2023-01-22 10:50:00,1633.5
2023-01-22 12:00:00,1633.11
2023-01-22 13:10:00,1630.99
2023-01-22 14:20:00,1626.26
2023-01-22 15:30:00,1620.76
2023-01-22 16:40:00,1618.97
2023-01-22 17:50:00,1618.78
2023-01-22 19:00:00,1618.77
2023-01-22 20:10:00,1618.75
2023-01-22 21:20:00,1618.75
2023-01-22 22:30:00,1619.11
2023-01-22 23:40:00,1619.96
2023-01-23 01:00:00,1620.79
2023-01-23 02:10:00,1621.23
2023-01-23 03:20:00,1622.2
2023-01-23 04:30:00,1623.17
2023-01-23 05:40:00,1623.99
2023-01-23 06:50:00,1624.77
2023-01-23 08:00:00,1625.4
2023-01-23 09:10:00,1625.68
2023-01-23 10:20:00,1625.71
2023-01-23 11:30:00,1625.32
2023-01-23 12:40:00,1623.42
2023-01-23 13:50:00,1619.3
2023-01-23 15:00:00,1613.97
2023-01-23 16:10:00,1611.35
2023-01-23 17:20:00,1610.88
2023-01-23 18:30:00,1610.77
2023-01-23 19:40:00,1610.77
2023-01-23 20:50:00,1611.46
2023-01-23 22:00:00,1612.1
2023-01-23 23:10:00,1612.92
2023-01-24 00:30:00,1614.91
2023-01-24 01:40:00,1618.27
2023-01-24 02:50:00,1621.89
2023-01-24 04:00:00,1624.59
2023-01-24 05:10:00,1627.19
2023-01-24 06:20:00,1630.61
2023-01-24 07:30:00,1633.9
2023-01-24 08:40:00,1636.2
2023-01-24 09:50:00,1636.32
2023-01-24 11:00:00,1636.09
2023-01-24 12:10:00,1631.83
2023-01-24 13:20:00,1621.26
2023-01-24 14:30:00,1615.25
2023-01-24 15:40:00,1613.59
2023-01-24 16:50:00,1613.23
2023-01-24 18:00:00,1613.15
2023-01-24 19:10:00,1613.23
2023-01-24 20:20:00,1613.82
2023-01-24 21:30:00,1615.31
2023-01-24 22:40:00,1618.75
2023-01-24 23:50:00,1622.36
2023-01-25 01:10:00,1627.08
2023-01-25 02:20:00,1631.13
2023-01-25 03:30:00,1635.06
2023-01-25 04:40:00,1638.48
2023-01-25 05:50:00,1640.77
2023-01-25 07:00:00,1641.52
2023-01-25 08:10:00,1641.77
2023-01-25 09:20:00,1641.79
2023-01-25 10:30:00,1641.77
2023-01-25 11:40:00,1641.74
2023-01-25 12:50:00,1640.11
2023-01-25 14:00:00,1635.27
2023-01-25 15:10:00,1628.16
2023-01-25 16:20:00,1622.86
2023-01-25 17:30:00,1621.17
2023-01-25 18:40:00,1621.15
2023-01-25 19:50:00,1621.7
2023-01-25 21:00:00,1623.67
2023-01-25 22:10:00,1626.42
2023-01-25 23:20:00,1629.32
2023-01-26 00:40:00,1633.83
2023-01-26 01:50:00,1636.12
2023-01-26 03:00:00,1637.66
2023-01-26 04:10:00,1638.16
2023-01-26 05:20:00,1638.75
