时间,位移量(mm)
2023-02-02 03:10:00,77.16
2023-02-02 04:20:00,77.16
2023-02-02 05:30:00,77.12
2023-02-02 06:40:00,77.16
2023-02-02 07:50:00,77.21
2023-02-02 09:00:00,77.24
2023-02-02 10:10:00,77.28
2023-02-02 11:20:00,77.28
2023-02-02 12:30:00,77.28
2023-02-02 13:40:00,77.24
2023-02-02 14:50:00,77.2
2023-02-02 16:00:00,77.2
2023-02-02 17:10:00,77.2
2023-02-02 18:20:00,77.24
2023-02-02 19:30:00,77.6
2023-02-02 20:40:00,78.27
2023-02-02 21:50:00,79.46
2023-02-02 23:00:00,80.17
2023-02-03 00:20:00,80.6
2023-02-03 01:30:00,80.72
2023-02-03 02:40:00,80.72
2023-02-03 03:50:00,80.72
2023-02-03 05:00:00,80.72
2023-02-03 06:10:00,80.72
2023-02-03 07:20:00,80.72
2023-02-03 08:30:00,80.72
2023-02-03 09:40:00,80.68
2023-02-03 10:50:00,79.85
2023-02-03 12:00:00,78.58
2023-02-03 13:10:00,76.91
2023-02-03 14:20:00,76.72
2023-02-03 15:30:00,76.64
2023-02-03 16:40:00,76.64
2023-02-03 17:50:00,76.72
2023-02-03 19:00:00,77.83
2023-02-03 20:10:00,79.53
2023-02-03 21:20:00,80.31
2023-02-03 22:30:00,80.39
2023-02-03 23:40:00,80.47
2023-02-04 01:00:00,80.51
2023-02-04 02:10:00,80.51
2023-02-04 03:20:00,80.51
2023-02-04 04:30:00,80.51
2023-02-04 05:40:00,80.51
2023-02-04 06:50:00,80.52
2023-02-04 08:00:00,80.55
2023-02-04 09:10:00,80.55
2023-02-04 10:20:00,80.51
2023-02-04 11:30:00,80.47
2023-02-04 12:40:00,80.27
2023-02-04 13:50:00,80.23
2023-02-04 15:00:00,80.23
2023-02-04 16:10:00,80.19
2023-02-04 17:20:00,79.92
2023-02-04 18:30:00,79.84
2023-02-04 19:40:00,79.8
2023-02-04 20:50:00,79.81
2023-02-04 22:00:00,80.12
2023-02-04 23:10:00,80.43
2023-02-05 00:30:00,80.51
2023-02-05 01:40:00,80.52
2023-02-05 02:50:00,80.56
2023-02-05 04:00:00,80.59
2023-02-05 05:10:00,80.64
2023-02-05 06:20:00,80.75
2023-02-05 07:30:00,80.83
2023-02-05 08:40:00,80.87
2023-02-05 09:50:00,80.63
2023-02-05 11:00:00,79.29
2023-02-05 12:10:00,78.13
2023-02-05 13:20:00,77.38
2023-02-05 14:30:00,77.03
2023-02-05 15:40:00,76.99
2023-02-05 16:50:00,76.83
2023-02-05 18:00:00,76.83
2023-02-05 19:10:00,77.46
2023-02-05 20:20:00,78.72
2023-02-05 21:30:00,79.79
2023-02-05 22:40:00,80.38
2023-02-05 23:50:00,80.5
2023-02-06 01:20:00,80.54
2023-02-06 02:30:00,80.54
2023-02-06 03:40:00,80.58
2023-02-06 04:50:00,80.62
2023-02-06 06:00:00,80.7
2023-02-06 07:10:00,80.74
2023-02-06 08:20:00,80.74
2023-02-06 09:30:00,80.57
2023-02-06 10:40:00,78.48
2023-02-06 11:50:00,77.01
2023-02-06 13:00:00,76.74
2023-02-06 14:10:00,76.58
2023-02-06 15:20:00,76.38
2023-02-06 16:30:00,76.19
2023-02-06 17:40:00,76.23
2023-02-06 18:50:00,77.25
2023-02-06 20:00:00,79
2023-02-06 21:10:00,79.75
2023-02-06 22:20:00,79.95
2023-02-06 23:30:00,79.99
2023-02-07 00:50:00,80.03
2023-02-07 02:00:00,80.11
2023-02-07 03:10:00,80.18
2023-02-07 04:20:00,80.22
2023-02-07 05:30:00,80.31
2023-02-07 06:40:00,80.34
2023-02-07 07:50:00,80.35
2023-02-07 09:00:00,80.34
2023-02-07 10:10:00,80.02
2023-02-07 11:20:00,79.35
2023-02-07 12:30:00,77.61
2023-02-07 13:40:00,76.94
2023-02-07 14:50:00,76.9
2023-02-07 16:00:00,76.82
2023-02-07 17:10:00,76.82
2023-02-07 18:20:00,76.86
2023-02-07 19:30:00,76.9
2023-02-07 20:40:00,77.17
2023-02-07 21:50:00,77.49
2023-02-07 23:00:00,77.8
2023-02-08 00:20:00,78.51
2023-02-08 01:30:00,79.11
2023-02-08 02:40:00,79.58
2023-02-08 03:50:00,79.7
2023-02-08 05:00:00,79.82
2023-02-08 06:10:00,79.89
2023-02-08 07:20:00,79.93
2023-02-08 08:30:00,79.93
2023-02-08 09:40:00,79.93
2023-02-08 10:50:00,79.93
2023-02-08 12:00:00,79.58
2023-02-08 13:10:00,77.96
2023-02-08 14:20:00,77.36
2023-02-08 15:30:00,77.32
2023-02-08 16:40:00,77.28
2023-02-08 17:50:00,77.28
2023-02-08 19:00:00,77.32
2023-02-08 20:10:00,77.44
2023-02-08 21:20:00,77.6
2023-02-08 22:30:00,77.87
2023-02-08 23:40:00,78.03
2023-02-09 01:00:00,78.27
2023-02-09 02:10:00,78.5
2023-02-09 03:20:00,78.82
2023-02-09 04:30:00,79.25
2023-02-09 05:40:00,79.93
2023-02-09 06:50:00,80.2
2023-02-09 08:00:00,80.24
2023-02-09 09:10:00,80.24
2023-02-09 10:20:00,80.24
2023-02-09 11:30:00,80.08
2023-02-09 12:40:00,79.84
2023-02-09 13:50:00,79.76
2023-02-09 15:00:00,77.54
2023-02-09 16:10:00,77.07
2023-02-09 17:20:00,77.07
2023-02-09 18:30:00,77.15
2023-02-09 19:40:00,77.66
2023-02-09 20:50:00,78.18
2023-02-09 22:00:00,79.33
2023-02-09 23:10:00,79.92
2023-02-10 00:30:00,80.12
2023-02-10 01:40:00,80.31
2023-02-10 02:50:00,80.43
2023-02-10 04:00:00,80.47
2023-02-10 05:10:00,80.47
