时间,挠度(mm)
2023-01-21 19:20:00,-40.94
2023-01-21 20:10:00,-40.25
2023-01-21 21:00:00,-38.73
2023-01-21 21:50:00,-37.74
2023-01-21 22:40:00,-39.36
2023-01-21 23:30:00,-39.2
2023-01-22 00:40:00,-40.13
2023-01-22 01:30:00,-44.47
2023-01-22 02:20:00,-42.96
2023-01-22 03:10:00,-39.16
2023-01-22 04:00:00,-42.98
2023-01-22 04:50:00,-44.06
2023-01-22 06:00:00,-44.02
2023-01-22 06:50:00,-44.66
2023-01-22 07:40:00,-43.44
2023-01-22 08:30:00,-43.12
2023-01-22 09:20:00,-45.34
2023-01-22 10:10:00,-42.12
2023-01-22 11:00:00,-43.16
2023-01-22 11:50:00,-41.14
2023-01-22 13:00:00,-42.32
2023-01-22 13:50:00,-38.46
2023-01-22 14:40:00,-40.44
2023-01-22 15:30:00,-38.95
2023-01-22 16:20:00,-38.72
2023-01-22 17:10:00,-35.42
2023-01-22 18:00:00,-37.14
2023-01-22 18:50:00,-34.29
2023-01-22 19:40:00,-35.39
2023-01-22 20:30:00,-34.64
2023-01-22 21:20:00,-37.05
2023-01-22 22:10:00,-35.62
2023-01-22 23:00:00,-35.91
2023-01-22 23:50:00,-39.65
2023-01-23 00:50:00,-36.48
2023-01-23 01:40:00,-37.05
2023-01-23 02:30:00,-39.15
2023-01-23 03:20:00,-38.33
2023-01-23 04:10:00,-41.39
2023-01-23 05:00:00,-40.07
2023-01-23 05:50:00,-39.03
2023-01-23 06:40:00,-40.83
2023-01-23 07:30:00,-39.29
2023-01-23 08:20:00,-40.29
2023-01-23 09:10:00,-41.66
2023-01-23 10:00:00,-42.5
2023-01-23 10:50:00,-40.52
2023-01-23 11:40:00,-41.6
2023-01-23 12:30:00,-38.98
2023-01-23 13:20:00,-39.26
2023-01-23 14:10:00,-37.8
2023-01-23 15:00:00,-37.07
2023-01-23 15:50:00,-35.94
2023-01-23 16:40:00,-33.16
2023-01-23 17:30:00,-33.44
2023-01-23 18:20:00,-32.69
2023-01-23 19:10:00,-35.13
2023-01-23 20:00:00,-36.57
2023-01-23 20:50:00,-32.37
2023-01-23 21:40:00,-34.18
2023-01-23 22:30:00,-33.48
2023-01-23 23:20:00,-34.09
2023-01-24 00:20:00,-36.66
2023-01-24 01:10:00,-38.38
2023-01-24 02:00:00,-37.83
2023-01-24 02:50:00,-43.34
2023-01-24 03:40:00,-41.44
2023-01-24 05:00:00,-41.43
2023-01-24 05:50:00,-40.73
2023-01-24 06:40:00,-43.98
2023-01-24 07:40:00,-47.34
2023-01-24 08:30:00,-47.83
2023-01-24 09:20:00,-44.86
2023-01-24 10:10:00,-45.65
2023-01-24 11:00:00,-43.81
2023-01-24 12:20:00,-44.54
2023-01-24 13:10:00,-39.8
2023-01-24 14:00:00,-36.79
2023-01-24 14:50:00,-37.6
2023-01-24 15:40:00,-35.27
2023-01-24 16:30:00,-37.5
2023-01-24 17:20:00,-36.58
2023-01-24 18:10:00,-37.96
2023-01-24 19:00:00,-34.46
2023-01-24 19:50:00,-34.55
2023-01-24 20:40:00,-36.91
2023-01-24 21:30:00,-37.51
2023-01-24 22:20:00,-39.24
2023-01-24 23:10:00,-38.79
2023-01-25 00:10:00,-41.35
2023-01-25 01:00:00,-44.55
2023-01-25 01:50:00,-43.11
2023-01-25 03:10:00,-46.34
2023-01-25 04:00:00,-45.33
2023-01-25 04:50:00,-48.73
2023-01-25 05:40:00,-47.07
2023-01-25 06:30:00,-50.55
2023-01-25 07:20:00,-51.77
2023-01-25 08:10:00,-51.32
2023-01-25 09:00:00,-50.15
2023-01-25 09:50:00,-49.34
2023-01-25 10:40:00,-47.48
2023-01-25 11:30:00,-47.2
2023-01-25 12:20:00,-46.49
2023-01-25 13:10:00,-48.28
2023-01-25 14:00:00,-45.35
2023-01-25 14:50:00,-40.76
2023-01-25 15:40:00,-42.7
2023-01-25 16:30:00,-41.67
2023-01-25 17:20:00,-39.29
2023-01-25 18:10:00,-39.83
2023-01-25 19:00:00,-35.66
2023-01-25 19:50:00,-36.62
2023-01-25 20:40:00,-38.3
2023-01-25 21:30:00,-38.4
2023-01-25 22:20:00,-40.98
2023-01-25 23:10:00,-41.74
2023-01-26 00:10:00,-44.78
2023-01-26 01:10:00,-44.07
2023-01-26 02:00:00,-48.78
2023-01-26 02:50:00,-48.47
2023-01-26 03:40:00,-48.22
2023-01-26 04:30:00,-46.05
2023-01-26 05:20:00,-48.77
2023-01-26 06:10:00,-46.94
2023-01-26 07:00:00,-47.56
2023-01-26 07:50:00,-45.27
2023-01-26 08:40:00,-48.78
2023-01-26 09:30:00,-45.6
2023-01-26 10:20:00,-45.89
2023-01-26 11:10:00,-45.02
2023-01-26 12:00:00,-44.71
2023-01-26 12:50:00,-46.42
2023-01-26 13:40:00,-44.15
2023-01-26 15:10:00,-44.26
2023-01-26 16:00:00,-39.55
2023-01-26 16:50:00,-41.24
2023-01-26 17:40:00,-38.2
2023-01-26 18:30:00,-38.12
2023-01-26 19:20:00,-36.55
2023-01-26 20:10:00,-38.19
2023-01-26 21:00:00,-39.3
2023-01-26 21:50:00,-38.45
2023-01-26 22:40:00,-36.95
2023-01-26 23:30:00,-39.52
2023-01-27 00:30:00,-41.52
2023-01-27 01:20:00,-43.59
2023-01-27 02:30:00,-42.9
2023-01-27 03:20:00,-43.64
2023-01-27 04:10:00,-47.63
2023-01-27 05:00:00,-47.45
2023-01-27 05:50:00,-46.19
2023-01-27 06:40:00,-46.95
2023-01-27 07:30:00,-47
2023-01-27 08:20:00,-51
2023-01-27 09:10:00,-50.98
2023-01-27 10:00:00,-52.07
2023-01-27 10:50:00,-50.18
2023-01-27 11:40:00,-44.71
2023-01-27 12:30:00,-45.1
2023-01-27 13:20:00,-41.66
2023-01-27 14:10:00,-37.69
2023-01-27 15:00:00,-33.85
2023-01-27 15:50:00,-28.35
2023-01-27 17:00:00,-26.07
2023-01-27 17:50:00,-27.4
2023-01-27 18:40:00,-26.22
2023-01-27 19:30:00,-26.96
2023-01-27 20:20:00,-30.51
2023-01-27 21:10:00,-30.31
2023-01-27 22:00:00,-33.93
2023-01-27 22:50:00,-35.58
2023-01-27 23:40:00,-41.11
2023-01-28 00:40:00,-39.06
2023-01-28 01:30:00,-40.02
2023-01-28 02:20:00,-41.69
2023-01-28 03:10:00,-41.17
2023-01-28 04:00:00,-43.6
2023-01-28 04:50:00,-45.2
2023-01-28 05:40:00,-45.31
2023-01-28 06:30:00,-45.61
2023-01-28 07:50:00,-50.47
2023-01-28 08:40:00,-48.15
2023-01-28 09:30:00,-49.41
2023-01-28 10:20:00,-47.75
2023-01-28 11:30:00,-45.93
2023-01-28 12:20:00,-41.66
2023-01-28 13:10:00,-40.89
2023-01-28 14:00:00,-34.8
2023-01-28 14:50:00,-30.77
2023-01-28 16:00:00,-27.62
2023-01-28 16:50:00,-24.52
2023-01-28 17:40:00,-25.25
2023-01-28 18:30:00,-22.38
2023-01-28 19:20:00,-27.3
2023-01-28 20:10:00,-27.19
2023-01-28 21:00:00,-32.19
2023-01-28 21:50:00,-31.94
2023-01-28 22:50:00,-36.41
2023-01-28 23:40:00,-38.46
2023-01-29 00:40:00,-37.5
2023-01-29 01:30:00,-41.38
2023-01-29 02:20:00,-39.09
2023-01-29 03:10:00,-43.84
2023-01-29 04:00:00,-42.4
2023-01-29 04:50:00,-45.73
2023-01-29 05:40:00,-45.26
2023-01-29 06:30:00,-49.72
2023-01-29 07:40:00,-47.53
2023-01-29 08:30:00,-52.67
2023-01-29 09:20:00,-51.4
2023-01-29 10:10:00,-50.37
2023-01-29 11:00:00,-48.73
2023-01-29 12:10:00,-42.91
2023-01-29 13:00:00,-38.86
2023-01-29 13:50:00,-33.78
